French,English,Spanish
partie,part,parte
seulement,only,solo
police,police,policía
pensais,thought,pensamiento
aide,help,ayudar
demande,request,solicitud
genre,kind,amable
mois,month,mes
frère,brother,hermano
car,because,porque
mettre,to put,poner
aucun,no,no
laisse,leash,Correa
chaque,each,cada
arrivé,come,venir
devrait,should,debería
bébé,baby,bebé
longtemps,long time,largo tiempo
heures,hours,horas
vont,will,voluntad
pendant,while,tiempo
revoir,meet again,reunirse de nuevo
aucune,any,alguna
place,square,cuadrado
parle,speak,hablar
savais,knew,supo
étaient,were,fueron
pourrais,could,podría
donner,give,dar
leurs,their,su
donné,given,dado
train,train,tren
corps,body,cuerpo
endroit,place,lugar
yeux,eyes,ojos
façon,way,manera
écoute,listen,escucha
dont,whose,cuyo
trouve,find,encontrar
premier,first,primero
perdu,lost,perdió
pouvoir,power,poder
vieux,old,antiguo
tiens,here,aquí
matin,morning,Mañana
tellement,so much,mucho
enfant,child,niño
point,point,punto
suite,after,después
devant,in front of,en frente de
vers,towards,hacia
demandé,request,solicitud
chambre,bedroom,habitación
mis,placed,metido
belle,beautiful,hermosa
aimerais,would like to,gustaria
aujourd'hui,today,hoy
mari,husband,esposo
cause,cause,causa
espère,hope,esperanza
attendez,Wait,Esperar
parti,left,izquierda
nouvelle,new,nuevo
boulot,job,trabajo
arrêter,Stop,Parada
terre,Earth,Tierra
donne,given,dado
loin,far,lejos
fin,end,fin
croire,believe,creer
gros,large,largo
plutôt,rather,bastante
filles,girls,muchachas
jouer,to play,para jugar
